Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),EasyFlow Product options (product.metafields.product_options.options),Product rating count (product.metafields.reviews.rating_count),SEO Hidden (product.metafields.seo.hidden),Adhesive type (product.metafields.shopify.adhesive-type),Age group (product.metafields.shopify.age-group),Bag/Case features (product.metafields.shopify.bag-case-features),Bag/Case material (product.metafields.shopify.bag-case-material),Bag/Case storage features (product.metafields.shopify.bag-case-storage-features),Carry options (product.metafields.shopify.carry-options),Celebration type (product.metafields.shopify.celebration-type),Color (product.metafields.shopify.color-pattern),Decoration material (product.metafields.shopify.decoration-material),Envelope features (product.metafields.shopify.envelope-features),Fabric (product.metafields.shopify.fabric),Item style (product.metafields.shopify.item-style),Material (product.metafields.shopify.material),Personalization design (product.metafields.shopify.personalization-design),Shape (product.metafields.shopify.shape),Target gender (product.metafields.shopify.target-gender),Theme (product.metafields.shopify.theme),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / India,Price / India,Compare At Price / India,Status
storage-bin-rocket,Storage Basket - Rocket,"<meta charset=""UTF-8"">
<p data-mce-fragment=""1"">Our soft, sturdy &amp; durable<span class=""Apple-converted-space"" data-mce-fragment=""1"">  </span>storage baskets for kids help keep their nursery &amp; playroom organized. It serves a dual purpose of kids’ room decor as well as storage. These baskets can be personalized and used as multifunctional storage within the nursery.</p>
<p data-mce-fragment=""1"">It is made of a special fabric. The patchwork is embroidered.</p>
<p data-mce-fragment=""1"">Please note fabric colour might vary due to photography &amp; light effects. Thread work colours may slightly vary. </p>
<p data-mce-fragment=""1"">Size : 13 inches (h) x  10 inches diameter</p>",thedesignfactoryshop,Luggage & Bags > Garment Bags,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,100,deny,manual,1350.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0750/4694/5085/files/757548C7-007F-444D-AEA6-328A8DF1571C_40823031-2e55-42bc-87e3-0794d00f85d9.png?v=1779071330,1,"",false,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
storage-bin-panda,Storage Basket - Panda,"<meta charset=""UTF-8"">
<p data-mce-fragment=""1"">Our soft, sturdy &amp; durable<span class=""Apple-converted-space"" data-mce-fragment=""1"">  </span>storage baskets for kids help keep their nursery &amp; playroom organized. It serves a dual purpose of kids’ room decor as well as storage. These baskets can be personalized and used as multifunctional storage within the nursery.</p>
<p data-mce-fragment=""1"">It is made of a special fabric. The patchwork is embroidered.</p>
<p data-mce-fragment=""1"">Please note fabric colour might vary due to photography &amp; light effects. Thread work colours may slightly vary. </p>
<p data-mce-fragment=""1"">Size : 13 inches (h) x  10 inches diameter</p>",thedesignfactoryshop,Luggage & Bags > Garment Bags,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,100,deny,manual,1350.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0750/4694/5085/files/IMG_4480.jpg?v=1779071192,1,"",false,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
storage-bin-spiderman,Storage Basket - Spiderman,"<meta charset=""UTF-8"">
<p data-mce-fragment=""1"">Our soft, sturdy &amp; durable<span class=""Apple-converted-space"" data-mce-fragment=""1"">  </span>storage baskets for kids help keep their nursery &amp; playroom organized. It serves a dual purpose of kids’ room decor as well as storage. These baskets can be personalized and used as multifunctional storage within the nursery.</p>
<p data-mce-fragment=""1"">It is made of a special fabric. The patchwork is embroidered.</p>
<p data-mce-fragment=""1"">Please note fabric colour might vary due to photography &amp; light effects. Thread work colours may slightly vary. </p>
<p data-mce-fragment=""1"">Size : 13 inches (h) x  10 inches diameter</p>",thedesignfactoryshop,Luggage & Bags > Garment Bags,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,100,deny,manual,1350.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0750/4694/5085/files/IMG_4483.jpg?v=1779071139,1,"",false,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
storage-bin-mermaid-1,Storage Basket - Mermaid,"<meta charset=""UTF-8"">
<p data-mce-fragment=""1"">Our soft, sturdy &amp; durable<span class=""Apple-converted-space"" data-mce-fragment=""1"">  </span>storage baskets for kids help keep their nursery &amp; playroom organized. It serves a dual purpose of kids’ room decor as well as storage. These baskets can be personalized and used as multifunctional storage within the nursery.</p>
<p data-mce-fragment=""1"">It is made of a special fabric. The patchwork is embroidered.</p>
<p data-mce-fragment=""1"">Please note fabric colour might vary due to photography &amp; light effects. Thread work colours may slightly vary. </p>
<p data-mce-fragment=""1"">Size : 13 inches (h) x  10 inches diameter</p>",thedesignfactoryshop,Luggage & Bags > Garment Bags,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,100,deny,manual,1350.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0750/4694/5085/files/8E486AF3-8986-4FF7-BA53-EF3AE9EA038D_35f29fa7-8eff-4092-9f53-eafc01a3981a.png?v=1779071094,1,"",false,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
art-bag-mermaid,Art Bag - Mermaid,"<p><span>Keep your child’s artwork, school projects, books, and creative essentials neatly organised with our spacious Personalised A3 Art Bag. Thoughtfully designed for kids, this lightweight yet durable bag is perfect for school, art classes, hobby sessions, travel, and activity days.</span></p>
<p><span>Features</span></p>
<ul>
<li><span>Spacious A3 size storage bag</span></li>
<li><span>Personalised name patch included</span></li>
<li><span>Durable water-resistant nylon material</span></li>
<li><span>2 large A3 compartments</span></li>
<li><span>1 zipper A3 compartment + 1 open A3 compartment</span></li>
<li><span>Additional zipper pockets for extra storage</span></li>
<li><span>Front quick-access storage section</span></li>
<li><span>Strong zipper closure for secure storage</span></li>
<li><span>Lightweight and easy for kids to carry</span></li>
<li><span>Ideal for school, art classes, tuition, travel &amp; activities</span></li>
</ul>
<p><span>Product Specifications</span></p>
<ul>
<li>
<span>Size:</span><span> 13 x 18 x 4 inches</span>
</li>
<li>
<span>Strap Size:</span><span> 6 inches</span>
</li>
<li>
<span>Material:</span><span> Nylon</span>
</li>
<li>
<span>Type:</span><span> Personalised A3 Art Bag</span>
</li>
<li>
<span>Wash Care:</span><span> Hand wash recommended</span>
</li>
</ul>
<p><span>A practical and stylish organiser for little artists and creative minds.</span></p>",thedesignfactoryshop,Luggage & Bags > Tote Bags,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,100,deny,manual,1200.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0750/4694/5085/files/88E28002-BDF3-426D-9B9A-6D04BC555BAE.png?v=1778577574,1,"",false,,,5181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
art-bag-frozen,Art Bag - Frozen,"<p><span>Keep your child’s artwork, school projects, books, and creative essentials neatly organised with our spacious Personalised A3 Art Bag. Thoughtfully designed for kids, this lightweight yet durable bag is perfect for school, art classes, hobby sessions, travel, and activity days.</span></p>
<p><span>Features</span></p>
<ul>
<li><span>Spacious A3 size storage bag</span></li>
<li><span>Personalised name patch included</span></li>
<li><span>Durable water-resistant nylon material</span></li>
<li><span>2 large A3 compartments</span></li>
<li><span>1 zipper A3 compartment + 1 open A3 compartment</span></li>
<li><span>Additional zipper pockets for extra storage</span></li>
<li><span>Front quick-access storage section</span></li>
<li><span>Strong zipper closure for secure storage</span></li>
<li><span>Lightweight and easy for kids to carry</span></li>
<li><span>Ideal for school, art classes, tuition, travel &amp; activities</span></li>
</ul>
<p><span>Product Specifications</span></p>
<ul>
<li>
<span>Size:</span><span> 13 x 18 x 4 inches</span>
</li>
<li>
<span>Strap Size:</span><span> 6 inches</span>
</li>
<li>
<span>Material:</span><span> Nylon</span>
</li>
<li>
<span>Type:</span><span> Personalised A3 Art Bag</span>
</li>
<li>
<span>Wash Care:</span><span> Hand wash recommended</span>
</li>
</ul>
<p><span>A practical and stylish organiser for little artists and creative minds.</span></p>",thedesignfactoryshop,Luggage & Bags > Tote Bags,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,100,deny,manual,1200.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0750/4694/5085/files/3F874BDF-C3FA-47F8-94C3-2C2EA2E8A56D_3b96681b-9de8-400e-b226-40fa33b297cd.png?v=1778577476,1,"",false,,,5181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
art-bag-transport,Art Bag - Transport,"<p><span>Keep your child’s artwork, school projects, books, and creative essentials neatly organised with our spacious Personalised A3 Art Bag. Thoughtfully designed for kids, this lightweight yet durable bag is perfect for school, art classes, hobby sessions, travel, and activity days.</span></p>
<p><span>Features</span></p>
<ul>
<li><span>Spacious A3 size storage bag</span></li>
<li><span>Personalised name patch included</span></li>
<li><span>Durable water-resistant nylon material</span></li>
<li><span>2 large A3 compartments</span></li>
<li><span>1 zipper A3 compartment + 1 open A3 compartment</span></li>
<li><span>Additional zipper pockets for extra storage</span></li>
<li><span>Front quick-access storage section</span></li>
<li><span>Strong zipper closure for secure storage</span></li>
<li><span>Lightweight and easy for kids to carry</span></li>
<li><span>Ideal for school, art classes, tuition, travel &amp; activities</span></li>
</ul>
<p><span>Product Specifications</span></p>
<ul>
<li>
<span>Size:</span><span> 13 x 18 x 4 inches</span>
</li>
<li>
<span>Strap Size:</span><span> 6 inches</span>
</li>
<li>
<span>Material:</span><span> Nylon</span>
</li>
<li>
<span>Type:</span><span> Personalised A3 Art Bag</span>
</li>
<li>
<span>Wash Care:</span><span> Hand wash recommended</span>
</li>
</ul>
<p><span>A practical and stylish organiser for little artists and creative minds.</span></p>",thedesignfactoryshop,Luggage & Bags > Tote Bags,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,100,deny,manual,1200.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0750/4694/5085/files/8BE2385B-138C-4A7A-BDE1-0A954AD55897.png?v=1778577357,1,"",false,,,5181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
art-bag-princess,Art Bag - Princess,"<p><span>Keep your child’s artwork, school projects, books, and creative essentials neatly organised with our spacious Personalised A3 Art Bag. Thoughtfully designed for kids, this lightweight yet durable bag is perfect for school, art classes, hobby sessions, travel, and activity days.</span></p>
<p><span>Features</span></p>
<ul>
<li><span>Spacious A3 size storage bag</span></li>
<li><span>Personalised name patch included</span></li>
<li><span>Durable water-resistant nylon material</span></li>
<li><span>2 large A3 compartments</span></li>
<li><span>1 zipper A3 compartment + 1 open A3 compartment</span></li>
<li><span>Additional zipper pockets for extra storage</span></li>
<li><span>Front quick-access storage section</span></li>
<li><span>Strong zipper closure for secure storage</span></li>
<li><span>Lightweight and easy for kids to carry</span></li>
<li><span>Ideal for school, art classes, tuition, travel &amp; activities</span></li>
</ul>
<p><span>Product Specifications</span></p>
<ul>
<li>
<span>Size:</span><span> 13 x 18 x 4 inches</span>
</li>
<li>
<span>Strap Size:</span><span> 6 inches</span>
</li>
<li>
<span>Material:</span><span> Nylon</span>
</li>
<li>
<span>Type:</span><span> Personalised A3 Art Bag</span>
</li>
<li>
<span>Wash Care:</span><span> Hand wash recommended</span>
</li>
</ul>
<p><span>A practical and stylish organiser for little artists and creative minds.</span></p>",thedesignfactoryshop,Luggage & Bags > Tote Bags,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,100,deny,manual,1200.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0750/4694/5085/files/C09DB0E5-5BDE-4E1C-A14A-D22ABEAAFCAE.png?v=1778577299,1,"",false,,,5181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
art-bag-princess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0750/4694/5085/files/B9610519-DA12-493B-9E65-0C27BB3582E8_a6c0eac6-c397-485e-b8b1-3039cb50d0d8.png?v=1778577299,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
art-bag-animals,Art Bag - Animals,"<p><span>Keep your child’s artwork, school projects, books, and creative essentials neatly organised with our spacious Personalised A3 Art Bag. Thoughtfully designed for kids, this lightweight yet durable bag is perfect for school, art classes, hobby sessions, travel, and activity days.</span></p>
<p><span>Features</span></p>
<ul>
<li><span>Spacious A3 size storage bag</span></li>
<li><span>Personalised name patch included</span></li>
<li><span>Durable water-resistant nylon material</span></li>
<li><span>2 large A3 compartments</span></li>
<li><span>1 zipper A3 compartment + 1 open A3 compartment</span></li>
<li><span>Additional zipper pockets for extra storage</span></li>
<li><span>Front quick-access storage section</span></li>
<li><span>Strong zipper closure for secure storage</span></li>
<li><span>Lightweight and easy for kids to carry</span></li>
<li><span>Ideal for school, art classes, tuition, travel &amp; activities</span></li>
</ul>
<p><span>Product Specifications</span></p>
<ul>
<li>
<span>Size:</span><span> 13 x 18 x 4 inches</span>
</li>
<li>
<span>Strap Size:</span><span> 6 inches</span>
</li>
<li>
<span>Material:</span><span> Nylon</span>
</li>
<li>
<span>Type:</span><span> Personalised A3 Art Bag</span>
</li>
<li>
<span>Wash Care:</span><span> Hand wash recommended</span>
</li>
</ul>
<p><span>A practical and stylish organiser for little artists and creative minds.</span></p>",thedesignfactoryshop,Luggage & Bags > Tote Bags,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,100,deny,manual,1200.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0750/4694/5085/files/6E2D6342-25FB-42C7-80E3-2CFB3A0C6D5E.png?v=1778577246,1,"",false,,,5181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
